event_type,start_time,start_price,end_time,end_price,duration,length,speed,theta,num
-1,1.13861E+12,0.684300005,1.13869E+12,0.682099998,7716,0.003214975,4.17E-07,0.25,85
0,1.13869E+12,0.682099998,1.13869E+12,0.683799982,510,0.00249228,4.89E-06,0.25,86
1,1.13869E+12,0.683799982,1.13869E+12,0.685100019,288,0.001901195,6.60E-06,0.25,87
0,1.13869E+12,0.685100019,1.1387E+12,0.683300018,1086,0.002627355,2.42E-06,0.25,88
-1,1.1387E+12,0.683300018,1.13871E+12,0.681800008,636,0.002195244,3.45E-06,0.25,89
0,1.13871E+12,0.681800008,1.13872E+12,0.683600008,1350,0.002640071,1.96E-06,0.25,90
1,1.13872E+12,0.683600008,1.13872E+12,0.683899999,72,4.39E-04,6.09E-06,0.25,91
0,1.13872E+12,0.683899999,1.13877E+12,0.682099998,4080,0.002631965,6.45E-07,0.25,92
-1,1.13877E+12,0.682099998,1.13887E+12,0.67869997,10494,0.004984647,4.75E-07,0.25,93
0,1.13887E+12,0.67869997,1.13896E+12,0.680400014,9078,0.002504853,2.76E-07,0.25,94
1,1.13896E+12,0.680400014,1.13937E+12,0.687900007,41184,0.011022917,2.68E-07,0.25,95
0,1.13937E+12,0.687900007,1.13939E+12,0.686100006,1212,0.00261666,2.16E-06,0.25,96
-1,1.13939E+12,0.686100006,1.1394E+12,0.685599983,1386,7.29E-04,5.26E-07,0.25,97
0,1.1394E+12,0.685599983,1.13943E+12,0.687300026,2850,0.002479644,8.70E-07,0.25,98
1,1.13943E+12,0.687300026,1.13946E+12,0.688799977,3192,0.002182382,6.84E-07,0.25,99
0,1.13946E+12,0.688799977,1.13949E+12,0.686999977,2604,0.002613241,1.00E-06,0.25,100
-1,1.13949E+12,0.686999977,1.13958E+12,0.682099998,9744,0.007132429,7.32E-07,0.25,101
0,1.13958E+12,0.682099998,1.1398E+12,0.683799982,21780,0.00249228,1.14E-07,0.25,102
1,1.1398E+12,0.683799982,1.13998E+12,0.687300026,18012,0.005118521,2.84E-07,0.25,103
0,1.13998E+12,0.687300026,1.13998E+12,0.685400009,72,0.002764466,3.84E-05,0.25,104
-1,1.13998E+12,0.685400009,1.14E+12,0.682299972,1866,0.004522961,2.42E-06,0.25,105
0,1.14E+12,0.682299972,1.14006E+12,0.684000015,6090,0.002491637,4.09E-07,0.25,106
1,1.14006E+12,0.684000015,1.14007E+12,0.685800016,468,0.00263158,5.62E-06,0.25,107
0,1.14007E+12,0.685800016,1.14007E+12,0.684000015,498,0.002624673,5.27E-06,0.25,108
-1,1.14007E+12,0.684000015,1.1401E+12,0.683499992,3300,7.31E-04,2.22E-07,0.25,109
0,1.1401E+12,0.683499992,1.14017E+12,0.685299993,6834,0.002633505,3.85E-07,0.25,110
1,1.14017E+12,0.685299993,1.14017E+12,0.685599983,12,4.38E-04,3.65E-05,0.25,111
0,1.14017E+12,0.685599983,1.14018E+12,0.683799982,666,0.002625439,3.94E-06,0.25,112
-1,1.14018E+12,0.683799982,1.14018E+12,0.683499992,54,4.39E-04,8.12E-06,0.25,113
